individual,mode,choice,vcost,travel,wait,gcost,income,size
191,car,1,18,225,0,42,4,1
192,air,1,93,85,30,102,30,1
192,train,0,33,365,34,72,30,1
192,bus,0,27,410,35,71,30,1
192,car,0,13,308,0,46,30,1
193,air,1,76,95,20,86,60,1
193,train,0,33,344,34,70,60,1
193,bus,0,27,389,35,69,60,1
193,car,0,13,315,0,47,60,1
194,air,0,100,190,64,129,4,2
194,train,0,49,678,44,152,4,2
194,bus,1,48,430,30,113,4,2
194,car,0,14,629,0,109,4,2
195,air,0,48,63,64,58,18,3
195,train,1,21,255,10,60,18,3
195,bus,0,13,397,53,73,18,3
195,car,0,4,324,0,53,18,3
196,air,0,58,93,64,72,15,2
196,train,1,30,315,10,78,15,2
196,bus,0,13,346,53,65,15,2
196,car,0,6,316,0,54,15,2
197,air,0,59,94,69,69,26,1
197,train,0,30,361,34,70,26,1
197,bus,0,24,406,35,68,26,1
197,car,1,10,270,0,39,26,1
198,air,1,111,105,30,122,40,1
198,train,0,71,596,34,136,40,1
198,bus,0,32,590,35,96,40,1
198,car,0,27,577,0,90,40,1
199,air,1,64,80,5,76,70,2
199,train,0,30,348,44,83,70,2
199,bus,0,24,393,53,84,70,2
199,car,0,7,291,0,51,70,2
200,air,1,60,85,5,73,45,4
200,train,0,24,379,44,81,45,4
200,bus,0,19,424,53,83,45,4
200,car,0,3,337,0,54,45,4
201,air,0,97,188,64,125,26,3
201,train,0,76,825,44,201,26,3
201,bus,1,38,810,16,161,26,3
201,car,0,15,803,0,137,26,3
202,air,0,91,117,69,104,35,1
202,train,0,77,630,34,145,35,1
202,bus,0,38,624,35,106,35,1
202,car,1,29,540,0,88,35,1
203,air,0,59,114,69,72,4,1
203,train,0,16,378,34,57,4,1
203,bus,1,14,370,5,54,4,1
203,car,0,17,335,0,53,4,1
204,air,0,60,66,69,67,20,1
204,train,0,34,352,34,72,20,1
204,bus,1,37,250,10,64,20,1
204,car,0,13,307,0,46,20,1
205,air,0,107,144,69,123,45,1
205,train,0,89,879,34,184,45,1
205,bus,1,35,775,30,119,45,1
205,car,0,37,868,0,131,45,1
206,air,0,81,124,69,94,40,1
206,train,0,69,605,34,135,40,1
206,bus,0,30,599,35,95,40,1
206,car,1,30,720,0,108,40,1
207,air,1,126,135,45,141,40,1
207,train,0,70,596,34,135,40,1
207,bus,0,31,590,35,95,40,1
207,car,0,32,577,0,95,40,1
208,air,0,59,86,69,68,2,1
208,train,0,15,360,34,54,2,1
208,bus,1,29,265,50,57,2,1
208,car,0,13,300,0,46,2,1
209,air,0,81,124,69,94,20,1
209,train,0,35,605,34,100,20,1
209,bus,0,31,599,35,96,20,1
209,car,1,27,510,0,82,20,1
210,air,0,66,140,64,87,70,4
210,train,0,54,670,44,156,70,4
210,bus,0,33,664,53,134,70,4
210,car,1,12,540,0,94,70,4
